"","modelSize","ss","run","modelRun","noIterations","timeSpent","noParmsToEstim"
"elapsed104",2,2000,2,3,20,6.7299999999999,4
"elapsed105",2,2000,3,1,20,6.66000000000008,4
"elapsed106",2,2000,3,2,26,8.69999999999993,4
"elapsed107",2,2000,3,3,29,9.70000000000005,4
"elapsed108",2,500,1,1,26,2.27999999999997,5
"elapsed109",2,500,1,2,20,1.75999999999999,5
"elapsed110",2,500,1,3,20,1.72000000000003,5
"elapsed111",2,500,2,1,53,4.67000000000007,5
"elapsed112",2,500,2,2,53,4.63,5
"elapsed113",2,500,2,3,20,1.73000000000002,5
"elapsed114",2,500,3,1,20,1.77999999999997,5
"elapsed115",2,500,3,2,20,1.74000000000001,5
"elapsed116",2,500,3,3,20,1.77999999999997,5
"elapsed117",2,1000,1,1,20,3.38,5
"elapsed118",2,1000,1,2,20,3.38999999999999,5
"elapsed119",2,1000,1,3,95,16.15,5
"elapsed120",2,1000,2,1,41,6.87,5
"elapsed121",2,1000,2,2,3000,509.57,5
"elapsed122",2,1000,2,3,20,3.3900000000001,5
"elapsed123",2,1000,3,1,26,4.38999999999987,5
"elapsed124",2,1000,3,2,20,3.40000000000009,5
"elapsed125",2,1000,3,3,32,5.40000000000009,5
"elapsed126",2,1500,1,1,32,8.05999999999995,5
"elapsed127",2,1500,1,2,32,8.01999999999998,5
"elapsed128",2,1500,1,3,29,7.25999999999999,5
"elapsed129",2,1500,2,1,41,10.3,5
"elapsed130",2,1500,2,2,44,11.0799999999999,5
"elapsed131",2,1500,2,3,20,4.98000000000002,5
"elapsed132",2,1500,3,1,23,5.81000000000017,5
"elapsed133",2,1500,3,2,83,20.78,5
"elapsed134",2,1500,3,3,20,5.02999999999997,5
"elapsed135",2,2000,1,1,50,16.74,5
"elapsed136",2,2000,1,2,47,15.74,5
"elapsed137",2,2000,1,3,47,15.78,5
"elapsed138",2,2000,2,1,116,38.8399999999999,5
"elapsed139",2,2000,2,2,77,25.8099999999999,5
"elapsed140",2,2000,2,3,65,21.8000000000002,5
"elapsed141",2,2000,3,1,20,6.70000000000005,5
"elapsed142",2,2000,3,2,59,19.77,5
"elapsed143",2,2000,3,3,71,23.9100000000001,5
"elapsed144",2,500,1,1,20,1.75,6
"elapsed145",2,500,1,2,23,2.05999999999995,6
"elapsed146",2,500,1,3,23,1.99000000000001,6
"elapsed147",2,500,2,1,20,1.73000000000002,6
"elapsed148",2,500,2,2,26,2.28999999999996,6
"elapsed149",2,500,2,3,35,3.08999999999992,6
"elapsed150",2,500,3,1,3000,265.25,6
"elapsed151",2,500,3,2,3000,265.19,6
"elapsed152",2,500,3,3,872,76.8,6
"elapsed153",2,1000,1,1,1178,200.25,6
"elapsed154",2,1000,1,2,3000,509.32,6
"elapsed155",2,1000,1,3,3000,509.13,6
"elapsed156",2,1000,2,1,65,11.0100000000002,6
"elapsed157",2,1000,2,2,134,22.6399999999999,6
"elapsed158",2,1000,2,3,122,20.6399999999999,6
"elapsed159",2,1000,3,1,20,3.36999999999989,6
"elapsed160",2,1000,3,2,44,7.45000000000027,6
"elapsed161",2,1000,3,3,125,21.1799999999998,6
"elapsed162",2,1500,1,1,20,5,6
"elapsed163",2,1500,1,2,20,5.04999999999973,6
"elapsed164",2,1500,1,3,20,4.98000000000002,6
"elapsed165",2,1500,2,1,101,25.3899999999999,6
"elapsed166",2,1500,2,2,20,5.0300000000002,6
"elapsed167",2,1500,2,3,23,5.75,6
"elapsed168",2,1500,3,1,20,5.01999999999998,6
"elapsed169",2,1500,3,2,20,5.00999999999976,6
"elapsed170",2,1500,3,3,26,6.58000000000038,6
"elapsed171",2,2000,1,1,26,8.65000000000009,6
"elapsed172",2,2000,1,2,20,6.67999999999984,6
"elapsed173",2,2000,1,3,20,6.69000000000005,6
"elapsed174",2,2000,2,1,113,37.9099999999999,6
"elapsed175",2,2000,2,2,20,6.64000000000033,6
"elapsed176",2,2000,2,3,20,6.6899999999996,6
"elapsed177",2,2000,3,1,92,30.8299999999999,6
"elapsed178",2,2000,3,2,107,35.9400000000001,6
"elapsed179",2,2000,3,3,218,73.2799999999997,6
