"","modelSize","ss","run","modelRun","noIterations","timeSpent"
"elapsed118",2,500,4,4,2000,231.690000000001
"elapsed119",2,500,4,5,291,33.7300000000014
"elapsed120",2,500,5,1,1990,231.84
"elapsed121",2,500,5,2,220,25.630000000001
"elapsed122",2,500,5,3,208,24.5
"elapsed123",2,500,5,4,1996,232.039999999999
"elapsed124",2,500,5,5,1994,231.93
"elapsed125",2,600,1,1,444,64.2299999999996
"elapsed126",2,600,1,2,350,51.7199999999993
"elapsed127",2,600,1,3,256,36.3400000000001
"elapsed128",2,600,1,4,211,29.3299999999999
"elapsed129",2,600,1,5,964,137.83
"elapsed130",2,600,2,1,240,33.5399999999991
"elapsed131",2,600,2,2,227,32.1900000000005
"elapsed132",2,600,2,3,1999,278.309999999999
"elapsed133",2,600,2,4,261,36.3199999999997
"elapsed134",2,600,2,5,2000,280.140000000001
"elapsed135",2,600,3,1,1996,279.040000000001
"elapsed136",2,600,3,2,2000,278.52
"elapsed137",2,600,3,3,2000,282.029999999999
"elapsed138",2,600,3,4,219,32.1700000000001
"elapsed139",2,600,3,5,1989,278.530000000001
"elapsed140",2,600,4,1,1996,278.620000000001
"elapsed141",2,600,4,2,1992,278.610000000001
"elapsed142",2,600,4,3,1998,278.939999999999
"elapsed143",2,600,4,4,710,99.0300000000007
"elapsed144",2,600,4,5,219,30.75
"elapsed145",2,600,5,1,210,30.8099999999995
"elapsed146",2,600,5,2,289,40.5200000000004
"elapsed147",2,600,5,3,479,67.0099999999984
"elapsed148",2,600,5,4,1380,192.210000000001
"elapsed149",2,600,5,5,336,47.4699999999993
"elapsed150",2,700,1,1,209,34.2999999999993
"elapsed151",2,700,1,2,1980,321.77
"elapsed152",2,700,1,3,1186,196.4
"elapsed153",2,700,1,4,1999,324.450000000001
"elapsed154",2,700,1,5,1992,324.940000000001
"elapsed155",2,700,2,1,359,58.6000000000004
"elapsed156",2,700,2,2,1996,324.34
"elapsed157",2,700,2,3,2000,324.440000000001
"elapsed158",2,700,2,4,284,47.1700000000001
"elapsed159",2,700,2,5,281,45.6299999999992
"elapsed160",2,700,3,1,227,37.5299999999988
"elapsed161",2,700,3,2,208,35.9099999999999
"elapsed162",2,700,3,3,1998,324.52
"elapsed163",2,700,3,4,211,34.2299999999996
"elapsed164",2,700,3,5,206,34.2800000000007
"elapsed165",2,700,4,1,1998,324.629999999999
"elapsed166",2,700,4,2,1997,324.679999999998
"elapsed167",2,700,4,3,278,45.5600000000013
"elapsed168",2,700,4,4,430,70.0499999999993
"elapsed169",2,700,4,5,768,126.77
"elapsed170",2,700,5,1,237,39.1200000000026
"elapsed171",2,700,5,2,430,69.9199999999983
"elapsed172",2,700,5,3,1999,324.43
"elapsed173",2,700,5,4,2000,324.640000000003
"elapsed174",2,700,5,5,1993,324.5
"elapsed175",2,800,1,1,750,146.829999999998
"elapsed176",2,800,1,2,455,94.9399999999987
"elapsed177",2,800,1,3,209,39.2900000000009
"elapsed178",2,800,1,4,839,158.079999999998
"elapsed179",2,800,1,5,281,52.2000000000007
"elapsed180",2,800,2,1,1101,204.580000000002
"elapsed181",2,800,2,2,851,157.970000000001
"elapsed182",2,800,2,3,2000,371.219999999998
"elapsed183",2,800,2,4,1995,371.98
"elapsed184",2,800,2,5,230,42.9700000000012
"elapsed185",2,800,3,1,209,39.2100000000028
"elapsed186",2,800,3,2,1141,212.109999999997
"elapsed187",2,800,3,3,669,124.780000000002
"elapsed188",2,800,3,4,1999,371.939999999999
"elapsed189",2,800,3,5,420,78.3299999999981
"elapsed190",2,800,4,1,208,39.2299999999996
"elapsed191",2,800,4,2,209,39.25
"elapsed192",2,800,4,3,1639,305.41
"elapsed193",2,800,4,4,566,106.200000000001
"elapsed194",2,800,4,5,1428,266.560000000001
"elapsed195",2,800,5,1,1997,372.310000000001
"elapsed196",2,800,5,2,388,72.7899999999972
"elapsed197",2,800,5,3,1997,372.350000000002
"elapsed198",2,800,5,4,240,44.8999999999978
"elapsed199",2,800,5,5,229,42.9900000000016
