,modelSize,ss,run,modelRun,noIterations,timeSpent,meanDist
elapsed96,4,1500,3,1,299,73.4100000000003,0.05004425252254
elapsed97,4,1500,3,2,158,38.75,0.092708270144331
elapsed98,4,1500,3,3,137,33.54,0.036835497424906
elapsed99,4,2000,1,1,1073,351.05,0.199602400593401
elapsed100,4,2000,1,2,209,68.6399999999999,0.197441931036724
elapsed101,4,2000,1,3,791,259.31,0.158329122491239
elapsed102,4,2000,2,1,218,71.4399999999996,0.175773894144576
elapsed103,4,2000,2,2,620,202.87,0.136921875792807
elapsed104,4,2000,2,3,100,32.8100000000004,0.024641276275791
elapsed105,4,2000,3,1,218,71.4099999999999,0.012099943528466
elapsed106,4,2000,3,2,101,33.0100000000002,0.191152992079934
elapsed107,4,2000,3,3,100,36.4700000000003,0.587138299147928
elapsed108,5,500,1,1,161,14.6599999999999,0.087022924537851
elapsed109,5,500,1,2,413,36.8900000000003,0.133319748126414
elapsed110,5,500,1,3,245,20.9499999999998,0.095692822032758
elapsed111,5,500,2,1,2603,221.04,0.192094470271111
elapsed112,5,500,2,2,2789,236.13,0.159998633483009
elapsed113,5,500,2,3,3000,253.87,0.182896321938375
elapsed114,5,500,3,1,3000,254.469999999999,0.228650817988611
elapsed115,5,500,3,2,3000,254.48,0.116276251745828
elapsed116,5,500,3,3,3000,254.61,0.033804167198634
elapsed117,5,1000,1,1,3000,494.58,0.054766859797192
elapsed118,5,1000,1,2,3000,500.43,0.122531532182419
elapsed119,5,1000,1,3,3000,497.24,0.076588616522369
elapsed120,5,1000,2,1,3000,496.14,0.080240467452974
elapsed121,5,1000,2,2,3000,496.68,0.227683121831145
elapsed122,5,1000,2,3,3000,497.719999999999,0.161873333016586
elapsed123,5,1000,3,1,3000,496.879999999999,0.073193898298375
elapsed124,5,1000,3,2,3000,496.969999999999,0.296729566376096
elapsed125,5,1000,3,3,806,133.540000000001,0.06301373828448
elapsed126,5,1500,1,1,923,226.469999999999,0.037142910135145
elapsed127,5,1500,1,2,746,183.48,0.07143371419029
elapsed128,5,1500,1,3,2603,638.880000000001,0.071130754552597
elapsed129,5,1500,2,1,569,139.68,0.131041437044069
elapsed130,5,1500,2,2,224,55.0200000000004,0.141193869501191
elapsed131,5,1500,2,3,185,45.4399999999987,0.128274542387749
elapsed132,5,1500,3,1,3000,736.040000000001,0.087473377705332
elapsed133,5,1500,3,2,3000,736.049999999999,0.193575073937774
elapsed134,5,1500,3,3,3000,735.65,0.230690668587872
elapsed135,5,2000,1,1,248,81.1299999999992,0.247203411717983
elapsed136,5,2000,1,2,173,56.5799999999999,0.262666684059997
elapsed137,5,2000,1,3,1805,591.780000000001,0.248661928099841
elapsed138,5,2000,2,1,392,128.279999999999,0.112752847140187
elapsed139,5,2000,2,2,170,55.630000000001,0.087161051516425
elapsed140,5,2000,2,3,188,61.5599999999995,0.077434179835717
elapsed141,5,2000,3,1,100,32.7199999999993,0.029844366780633
elapsed142,5,2000,3,2,100,32.6599999999999,0.035719251928138
elapsed143,5,2000,3,3,100,32.6900000000005,0.025512325631981
elapsed144,6,500,1,1,3000,256.309999999999,0.449631879357921
elapsed145,6,500,1,2,3000,256.780000000001,0.487933497879724
elapsed146,6,500,1,3,3000,256.779999999999,0.509461417288835
elapsed147,6,500,2,1,3000,256.940000000001,0.218989756995916
elapsed148,6,500,2,2,3000,257.219999999999,0.541727455776321
elapsed149,6,500,2,3,3000,257.34,0.280837579228278
elapsed150,6,500,3,1,3000,256.720000000001,0.273994991893133
elapsed151,6,500,3,2,3000,256.970000000001,0.463151221643925
elapsed152,6,500,3,3,3000,256.609999999997,0.467140681840644
elapsed153,6,1000,1,1,3000,496.509999999998,0.600311167031958
elapsed154,6,1000,1,2,3000,498.189999999999,0.478071749193488
elapsed155,6,1000,1,3,3000,497.690000000002,0.535371253173946
elapsed156,6,1000,2,1,3000,496.540000000001,0.147845115150844
elapsed157,6,1000,2,2,3000,497.329999999998,0.122265725703875
elapsed158,6,1000,2,3,3000,497.25,0.080448265450744
elapsed159,6,1000,3,1,569,94.1399999999994,0.070614290866123
elapsed160,6,1000,3,2,338,55.9099999999999,0.086340150509469
elapsed161,6,1000,3,3,461,76.3400000000001,0.088998882339107
elapsed162,6,1500,1,1,3000,736,0.273840681752702
elapsed163,6,1500,1,2,3000,736.5,0.296391582188957
elapsed164,6,1500,1,3,3000,736.700000000001,0.241988366684944
elapsed165,6,1500,2,1,3000,736.169999999998,0.097256065898345
elapsed166,6,1500,2,2,3000,736.130000000001,0.044961785774041
elapsed167,6,1500,2,3,3000,735.759999999998,0.3506433815457
elapsed168,6,1500,3,1,3000,736.360000000001,0.122235666200918
elapsed169,6,1500,3,2,3000,735.5,0.370785691384435
elapsed170,6,1500,3,3,3000,737.299999999999,0.237476576788605
elapsed171,6,2000,1,1,344,112.5,0.121072641968228
elapsed172,6,2000,1,2,254,83.0699999999997,0.13449455905234
elapsed173,6,2000,1,3,2798,916.560000000001,0.063944098295598
elapsed174,6,2000,2,1,3000,983.599999999999,0.060423087564943
elapsed175,6,2000,2,2,3000,982.120000000003,0.025001716095797
elapsed176,6,2000,2,3,3000,982.579999999998,0.08213410307912
elapsed177,6,2000,3,1,3000,981.68,0.271708330404992
elapsed178,6,2000,3,2,3000,983.040000000001,0.089119383640186
elapsed179,6,2000,3,3,3000,983.150000000001,0.137428978720746
